GeoID,County,Area,Percentage_in_Poverty ,Poverty_Category_Code,Number_of_Cases,Population_Size,Percent,ACS_Population,White,Black,AIAN,Hispanic,ASIAN,Other,Percent_ACS_Population,Percent_White,Percent_Black,Percent_AIAN,Percent_Hispanic,Percent_Asian,Other_Percent
35001004738,Bernalillo,,0.18,3,249,"5,653",0.04404741,6132,571,356,158,4864,64,119,20.68,9.31,5.81,2.58,79.32,1.04,1.94
35001004739,Bernalillo,So. Ninetyeight,0.27,4,284,"6,995",0.04060043,7013,589,70,246,5917,159,32,15.63,8.4,1,3.51,84.37,2.27,0.46
35001004740,Bernalillo,So. Ninetyeight,0.18,3,264,"7,574",0.03485609,7113,910,102,370,5627,0,104,20.89,12.79,1.43,5.2,79.11,0,1.47
35001004741,Bernalillo,So. Ninetyeight,0.24,4,317,"7,442",0.04259608,7695,1097,214,491,5792,53,48,24.73,14.26,2.78,6.38,75.27,0.69,0.62
35001004742,Bernalillo,No. Ninetyeight,0.13,3,124,"6,425",0.01929961,6181,2262,98,184,3469,88,80,43.88,36.6,1.59,2.98,56.12,1.42,1.29
35001004743,Bernalillo,No. Ninetyeight,0.06,2,70,"3,200",0.021875,4172,1138,111,203,2295,309,116,44.99,27.28,2.66,4.87,55.01,7.41,2.78
35001004744,Bernalillo,No. Ninetyeight,0.06,2,151,"5,270",0.02865275,5819,1771,215,118,3253,313,149,44.1,30.43,3.69,2.03,55.9,5.38,2.56
35001004745,Bernalillo,Alameda Coors,0.07,2,207,"6,663",0.03106709,6436,3176,80,148,2835,107,90,55.95,49.35,1.24,2.3,44.05,1.66,1.4
35001004746,Bernalillo,Alameda Coors,0.14,3,144,"7,592",0.01896733,8590,3242,532,248,4271,63,234,50.28,37.74,6.19,2.89,49.72,0.73,2.72
35001004747,Bernalillo,Irving Unser,0.04,1,71,"5,147",0.01379444,5372,1677,37,156,3339,59,104,37.84,31.22,0.69,2.9,62.16,1.1,1.94
35001004748,Bernalillo,Irving Unser,0.09,2,133,"9,539",0.01394276,10784,5315,80,178,4704,140,367,56.38,49.29,0.74,1.65,43.62,1.3,3.4
35001004749,Bernalillo,No. Ninetyeight,0.3,5,106,"4,410",0.02403628,4438,1090,233,273,2713,25,104,38.87,24.56,5.25,6.15,61.13,0.56,2.34
35001004750,Bernalillo,No. Ninetyeight,0.07,2,131,"6,736",0.01944774,6026,1438,259,222,3998,0,109,33.65,23.86,4.3,3.68,66.35,0,1.81
35001004751,Bernalillo,Irving Unser,0.06,2,62,"2,734",0.0226774,3672,1545,91,127,1774,83,52,51.69,42.08,2.48,3.46,48.31,2.26,1.42
35001004752,Bernalillo,Irving Unser,0.1,2,64,"3,868",0.01654602,3943,1822,75,95,1597,182,172,59.5,46.21,1.9,2.41,40.5,4.62,4.37
35001004753,Bernalillo,Irving Unser,0.07,2,54,"3,654",0.01477833,3996,1634,119,143,1942,52,106,51.4,40.89,2.98,3.58,48.6,1.3,2.65
35001940500,Bernalillo,Paseo Ventura,0.05,1,15,"2,852",0.00525947,3123,2300,141,85,492,51,54,84.25,73.65,4.51,2.72,15.75,1.63,1.73
35001940600,Bernalillo,Southwest,0.15,3,1247,"10,290",0.12118562,11788,3016,575,2055,5246,688,208,55.5,25.59,4.88,17.43,44.5,5.84,1.77
35001940700,Bernalillo,Southwest,0.27,4,81,"2,531",0.03200316,2704,52,0,2207,388,27,30,85.65,1.92,0,81.62,14.35,1,1.11
35003976400,Sierra/Catron,,0.23,4,13,"3,518",0.00369528,3539,2885,0,2,635,6,11,82.06,81.52,0,0.06,17.94,0.17,0.31
35005000201,Chaves,Roswell N.W.,0.22,4,160,"3,791",0.04220522,3463,1230,110,18,2061,0,44,40.49,35.52,3.18,0.52,59.51,0,1.27
35005000202,Chaves,Roswell S.E.,0.21,4,180,"3,838",0.04689943,3734,1337,178,28,2060,25,106,44.83,35.81,4.77,0.75,55.17,0.67,2.84
